,name,url,position,score,hometown,offers,state
0,Jase McClellan,https://247sports.com/player/jase-mcclellan-46036686,RB ,0.9787," Aledo (Aledo, TX)                    ","['Oklahoma', 'Alabama', 'Texas', 'Arkansas', 'Baylor', 'Georgia', 'Houston', 'Illinois', 'LSU', 'Miami', 'Michigan', 'Nebraska', 'Oklahoma State', 'Oregon', 'Penn State', 'SMU', 'Southern Oregon', 'TCU', 'Texas A&M', 'Texas Tech', 'Utah', 'Wisconsin']",TX
1,Nate Anderson,https://247sports.com/player/nate-anderson-46057968,OG ,0.9751," Reedy (Frisco, TX)    ","['Oklahoma', 'Arizona State', 'Arkansas', 'Baylor', 'Boston College', 'Dartmouth', 'Florida State', 'Houston', 'Kansas', 'Memphis', 'Missouri', 'North Carolina', 'North Texas', 'Oklahoma State', 'SMU', 'TCU', 'Tulsa', 'USC', 'Utah', 'UTSA', 'Washington State']",TX
2,Andrew Raym,https://247sports.com/player/andrew-raym-46042593,OG ,0.9602," Broken Arrow (Broken Arrow, OK)    ","['Oklahoma', 'Georgia', 'Michigan', 'Alabama', 'Arkansas', 'Auburn', 'Baylor', 'Florida', 'LSU', 'Memphis', 'Mississippi State', 'Notre Dame', 'Oklahoma State', 'SMU', 'Stanford', 'TCU', 'Texas', 'Texas A&M', 'Tulsa']",OK
3,Reggie Grimes,https://247sports.com/player/reggie-grimes-46043136,WDE ,0.9593," Ravenwood (Brentwood, TN)    ","['Oklahoma', 'Tennessee', 'Ole Miss', 'Alabama', 'Florida State', 'South Carolina', 'Vanderbilt', 'Arkansas', 'Clemson', 'Georgia Tech', 'Louisville', 'LSU', 'Memphis', 'Ohio State', 'Penn State', 'Pittsburgh', 'Purdue', 'Texas A&M', 'Tulane', 'Virginia', 'Virginia Tech']",TN
4,Seth McGowan,https://247sports.com/player/seth-mcgowan-46042960,RB ,0.94," Poteet (Mesquite, TX)    ","['Oklahoma', 'Georgia', 'Alabama', 'Arizona State', 'Arkansas', 'Baylor', 'Bowling Green', 'Colorado', 'Kansas', 'LSU', 'Michigan', 'Mississippi State', 'Missouri', 'Nebraska', 'Notre Dame', 'Ohio State', 'Oklahoma State', 'Oregon', 'SMU', 'Stanford', 'TCU', 'Texas', 'Texas A&M', 'Texas Tech', 'Tulsa', 'USC', 'Wisconsin']",TX
5,Jalin Conyers,https://247sports.com/player/jalin-conyers-46081785,TE ,0.9233," Gruver (Gruver, TX)    ","['Oklahoma', 'Georgia', 'Ohio State', 'Arizona State', 'Baylor', 'California', 'Louisiana', 'LSU', 'Michigan', 'Missouri', 'Nebraska', 'Oklahoma State', 'Oregon', 'Penn State', 'Purdue', 'SMU', 'TCU', 'Texas', 'Texas A&M', 'Texas Tech', 'Tulsa', 'USC']",TX
6,Aaryn Parks,https://247sports.com/player/aaryn-parks-46050455,OG ,0.9205," National Christian Academy (Fort Washington, MD)    ","['Oklahoma', 'Georgia', 'Pittsburgh', 'Penn State', 'Alabama', 'Florida', 'Indiana', 'Kentucky', 'Maryland', 'Michigan', 'Mississippi State', 'NC State', 'North Carolina', 'Oregon', 'Purdue', 'Rutgers', 'Syracuse', 'Virginia', 'Virginia Tech', 'West Virginia', 'Texas A&M']",MD
7,Bryson Washington,https://247sports.com/player/bryson-washington-46049451,S ,0.9186," C.E. King (Houston, TX)    ","['Oklahoma', 'Texas', 'Alabama', 'Auburn', 'Baylor', 'Clemson', 'Colorado', 'Florida', 'Florida State', 'Georgia', 'Houston', 'Kansas State', 'Louisville', 'LSU', 'Miami', 'Michigan State', 'Nebraska', 'Ohio State', 'Ole Miss', 'Oregon', 'Tennessee', 'Texas A&M', 'Texas Tech', 'USC']",TX
8,Perrion Winfrey,https://247sports.com/player/perrion-winfrey-46039840,DT ,0.9162," Iowa Western C.C. (Council Bluffs, IA)    ","['Oklahoma', 'Alabama', 'Arizona', 'Baylor', 'Florida Atlantic', 'Florida State', 'Iowa State', 'Kentucky', 'Louisiana', 'LSU', 'Memphis', 'Miami', 'Mississippi State', 'Nebraska', 'Oregon', 'Penn State', 'Tennessee', 'Texas', 'Virginia Tech', 'West Virginia']",IA
9,Anton Harrison,https://247sports.com/player/anton-harrison-46036474,OT ,0.9112," Archbishop Carroll (Washington, DC)    ","['Oklahoma', 'Boston College', 'East Carolina', 'FIU', 'Florida State', 'Indiana', 'Kentucky', 'Maryland', 'Michigan', 'North Carolina', 'Ohio State', 'Ole Miss', 'Penn State', 'Pittsburgh', 'Rutgers', 'Syracuse', 'Temple', 'Texas A&M', 'Virginia', 'Virginia Tech', 'Wake Forest', 'West Virginia', 'Wisconsin', 'Clemson', 'Oregon', 'Purdue']",DC
10,Michael Henderson,https://247sports.com/player/michael-henderson-46037341,ATH ,0.9086," Ranchview (Carrollton, TX)    ","['Oklahoma', 'Georgia', 'Alabama', 'Arizona', 'Arizona State', 'Arkansas', 'Baylor', 'Colorado', 'Florida', 'Georgia', 'Houston', 'Illinois', 'Louisville', 'Miami', 'Missouri', 'Nebraska', 'North Texas', 'Oregon', 'San Diego State', 'SMU', 'TCU', 'Tennessee', 'Texas', 'Texas A&M', 'Texas Tech', 'Washington']",TX
11,Marvin Mims,https://247sports.com/player/marvin-mims-46049311,WR ,0.907," Lone Star (Frisco, TX)    ","['Oklahoma', 'Colorado', 'Stanford', 'Arizona', 'Arizona State', 'Arkansas', 'Baylor', 'Illinois', 'Indiana', 'Kansas', 'Kansas State', 'Mississippi State', 'Missouri', 'Nebraska', 'Notre Dame', 'Ohio State', 'Oklahoma State', 'Purdue', 'SMU', 'Southern Miss', 'TCU', 'Tennessee', 'Texas A&M', 'Texas Tech', 'Tulsa', 'Utah', 'Vanderbilt', 'Virginia Tech', 'Washington State', 'Wisconsin']",TX
12,DJ Graham,https://247sports.com/player/dj-graham-46037403,ATH ,0.8817," Keller Central (Keller, TX)    ","['Oklahoma', 'Arkansas', 'Baylor', 'Colorado', 'Georgia', 'Houston', 'Indiana', 'Kansas', 'Louisiana Tech', 'LSU', 'Miami', 'Michigan', 'Missouri', 'Nebraska', 'Notre Dame', 'Ohio State', 'Oklahoma State', 'SMU', 'Texas Tech', 'Tulsa', 'Utah', 'Washington State']",TX
13,Shane Whitter,https://247sports.com/player/shane-whitter-46055031,ILB ,0.8789," Walter M Williams (Burlington, NC)    ","['Oklahoma', 'Wake Forest', 'Charlotte', 'Elon', 'Liberty', 'Navy', 'North Carolina']",NC
14,Noah Nelson,https://247sports.com/player/noah-nelson-46047383,OT ,0.8783," Williams Field (Gilbert, AZ)    ","['Oklahoma', 'Michigan', 'UCLA', 'Arizona', 'Arizona State', 'Auburn', 'Colorado', 'Georgia Tech', 'Indiana', 'Louisiana', 'Memphis', 'Oklahoma State', 'Purdue', 'USC', 'Utah', 'Washington', 'Washington State']",AZ
15,Noah Arinze,https://247sports.com/player/noah-arinze-46078883,WDE ,0.8742," Webster Groves (Saint Louis, MO)    ","['Oklahoma', 'Arizona State', 'Minnesota', 'Ball State', 'Illinois', 'Indiana', 'Indiana State', 'Iowa', 'Iowa State', 'Kansas', 'Kent State', 'Kentucky', 'Missouri', 'Nebraska', 'North Carolina', 'Tennessee', 'Texas', 'UCLA', 'Wisconsin']",MO
16,Brynden Walker,https://247sports.com/player/brynden-walker-46047137,OLB ,0.8689," Bishop McGuinness (Oklahoma City, OK)    ","['Oklahoma', 'Oklahoma State', 'Eastern Michigan', 'Iowa State', 'Kansas', 'Kansas State', 'Memphis', 'Minnesota', 'Rutgers', 'SMU', 'Texas', 'Texas Tech', 'Vanderbilt']",OK
17,Trevon West,https://247sports.com/player/trevon-west-46049156,WR ,0.8668," Lamar (Arlington, TX)    ","['Oklahoma', 'Hawaii', 'Illinois', 'Kansas', 'Minnesota', 'San Diego State', 'Texas Tech', 'Tulsa']",TX
18,Brian Darby,https://247sports.com/player/brian-darby-46037855,WR ,0.8551," A&M Consolidated (College Station, TX)    ","['Oklahoma', 'Arizona', 'Illinois State', 'Kansas State', 'Nevada', 'North Texas', 'Southern Miss', 'Tulsa', 'Utah', 'UTSA']",TX
